+------+-------------+----------+
| id   | exercise_id | phase_id |
| 1894 |         322 |        1 |
| 1895 |         322 |        2 |
| 1896 |         322 |        3 |
| 1897 |         322 |        4 |
| 1898 |         322 |        5 |
| 1899 |         323 |        1 |
| 1900 |         323 |        2 |
| 1901 |         323 |        3 |
| 1902 |         323 |        4 |
| 1903 |         323 |        5 |
| 1904 |         324 |        1 |
| 1905 |         324 |        2 |
| 1906 |         324 |        3 |
| 1907 |         324 |        4 |
| 1908 |         324 |        5 |
| 1909 |         325 |        1 |
| 1910 |         325 |        2 |
| 1911 |         325 |        3 |
| 1912 |         325 |        4 |
| 1913 |         325 |        5 |
| 1914 |         326 |        1 |
| 1915 |         326 |        2 |
| 1916 |         326 |        3 |
| 1917 |         326 |        4 |
| 1918 |         326 |        5 |
| 1919 |         327 |        1 |
| 1920 |         327 |        2 |
| 1921 |         327 |        3 |
| 1922 |         327 |        4 |
| 1923 |         327 |        5 |
| 1924 |         328 |        1 |
| 1925 |         328 |        2 |
| 1926 |         328 |        3 |
| 1927 |         328 |        4 |
| 1928 |         328 |        5 |
| 1929 |         329 |        1 |
| 1930 |         329 |        2 |
| 1931 |         329 |        3 |
| 1932 |         329 |        4 |
| 1933 |         329 |        5 |
| 1939 |         331 |        1 |
| 1940 |         331 |        2 |
| 1941 |         331 |        3 |
| 1942 |         331 |        4 |
| 1943 |         331 |        5 |
| 1949 |         333 |        1 |
| 1950 |         333 |        2 |
| 1951 |         333 |        3 |
| 1952 |         333 |        4 |
| 1953 |         333 |        5 |
| 1954 |         334 |        1 |
| 1955 |         334 |        2 |
| 1956 |         334 |        3 |
| 1957 |         334 |        4 |
| 1958 |         334 |        5 |
| 1959 |         335 |        1 |
| 1960 |         335 |        2 |
| 1961 |         335 |        3 |
| 1962 |         335 |        4 |
| 1963 |         335 |        5 |
| 1964 |         336 |        1 |
| 1965 |         336 |        2 |
| 1966 |         336 |        3 |
| 1967 |         336 |        4 |
| 1968 |         336 |        5 |
| 1969 |         337 |        1 |
| 1970 |         337 |        2 |
| 1971 |         337 |        3 |
| 1972 |         337 |        4 |
| 1973 |         337 |        5 |
| 1974 |         338 |        1 |
| 1975 |         338 |        2 |
| 1976 |         338 |        3 |
| 1977 |         338 |        4 |
| 1978 |         338 |        5 |
| 1979 |         339 |        1 |
